epoch,deconv1_v1_loss,deconv1_v2_loss,deconv1_v3_loss,loss
0,0.20172463357448578,0.2976363003253937,0.27329081296920776,0.7726516723632812
1,0.13188673555850983,0.1384904831647873,0.14173445105552673,0.4121117889881134
2,0.029161926358938217,0.03662336245179176,0.036858148872852325,0.1026434525847435
3,0.012058710679411888,0.014625165611505508,0.01836903765797615,0.0450529120862484
4,0.006482679396867752,0.0095452181994915,0.013159778900444508,0.029187673702836037
5,0.005552608519792557,0.008958046324551105,0.012016091495752335,0.02652674913406372
6,0.005337700247764587,0.008804118260741234,0.011745342053472996,0.02588716521859169
7,0.0052627744153141975,0.00874079018831253,0.011661211028695107,0.025664769113063812
8,0.005230506882071495,0.008712159469723701,0.011622809804975986,0.025565465912222862
9,0.005215846002101898,0.008699167519807816,0.011603658087551594,0.025518685579299927
10,0.005209228489547968,0.008692383766174316,0.011592665687203407,0.025494284927845
11,0.005205858498811722,0.008690111339092255,0.011586025357246399,0.025481998920440674
12,0.005204411689192057,0.00868765264749527,0.011581252329051495,0.025473330169916153
13,0.005203206557780504,0.008685870096087456,0.011576678603887558,0.025465762242674828
14,0.005202334839850664,0.008685027249157429,0.01157524436712265,0.025462597608566284
15,0.005201981868594885,0.008685080334544182,0.01157417893409729,0.02546124905347824
16,0.005202185362577438,0.008683934807777405,0.01157249417155981,0.025458618998527527
17,0.005200919229537249,0.008683192543685436,0.011570868082344532,0.02545497566461563
18,0.005200922954827547,0.00868128053843975,0.011569958180189133,0.025452163070440292
19,0.005200611427426338,0.008680307306349277,0.011569109745323658,0.025450032204389572
