epoch,deconv1_v1_loss,deconv1_v2_loss,loss
0,0.10755471140146255,0.11630488932132721,0.22385947406291962
1,0.00877684261649847,0.008436435833573341,0.01721327379345894
2,0.008065101690590382,0.008018335327506065,0.016083432361483574
3,0.008047807030379772,0.008013417944312096,0.016061225906014442
4,0.008045471273362637,0.008012193255126476,0.01605766825377941
5,0.008043681271374226,0.008010273799300194,0.01605396345257759
6,0.00804212223738432,0.008008976466953754,0.016051094979047775
7,0.008041299879550934,0.008008546195924282,0.01604984700679779
8,0.008040261454880238,0.008007073774933815,0.016047334298491478
9,0.008039942942559719,0.008006568998098373,0.016046512871980667
