epoch,deconv1_v1_loss,deconv1_v2_loss,deconv1_v3_loss,loss
0,0.2720930874347687,0.25039157271385193,0.25710946321487427,0.7795942425727844
1,0.08759951591491699,0.05977559834718704,0.05692395567893982,0.20429904758930206
2,0.019878754392266273,0.014865363016724586,0.01457779947668314,0.04932193085551262
3,0.010558562353253365,0.010244723409414291,0.01012443471699953,0.030927715823054314
4,0.00990592036396265,0.009968557395040989,0.009889441542327404,0.029763909056782722
5,0.009829468093812466,0.009878979064524174,0.009834629483520985,0.0295430775731802
6,0.009806906804442406,0.009836126118898392,0.009813827462494373,0.029456861317157745
7,0.009797841310501099,0.00981367938220501,0.00980380829423666,0.029415326192975044
8,0.009794937446713448,0.00980394147336483,0.009799459017813206,0.02939833141863346
9,0.009793528355658054,0.009798862971365452,0.009797217324376106,0.029389595612883568
