epoch,deconv1_v1_loss,deconv1_v2_loss,loss
0,0.14429442584514618,0.19020409882068634,0.33449873328208923
1,0.009004154242575169,0.014740553684532642,0.023744704201817513
2,0.005019089672714472,0.007218684535473585,0.012237774208188057
3,0.004949329420924187,0.0070152548141777515,0.011964576318860054
4,0.004937645047903061,0.006976256612688303,0.0119139039888978
5,0.004933803342282772,0.0069654639810323715,0.011899263598024845
6,0.004931304138153791,0.006960306316614151,0.01189161092042923
7,0.004930093418806791,0.006957836914807558,0.011887925677001476
8,0.004928841721266508,0.00695494981482625,0.011883796192705631
9,0.0049278996884822845,0.0069526503793895245,0.011880548670887947
10,0.004926863592118025,0.006950537208467722,0.011877404525876045
11,0.004926087334752083,0.006948207039386034,0.011874297633767128
12,0.004924827255308628,0.006945419125258923,0.011870251037180424
13,0.004923648666590452,0.006942891515791416,0.01186654344201088
14,0.004922566935420036,0.006939856801182032,0.011862434446811676
15,0.004921219777315855,0.006936764344573021,0.011857982724905014
16,0.004919583909213543,0.006932771299034357,0.011852363124489784
17,0.004917582497000694,0.006928256247192621,0.011845843866467476
18,0.004915586672723293,0.006922740954905748,0.011838332749903202
19,0.004912817385047674,0.006916433572769165,0.011829244904220104
