epoch,deconv1_v1_loss,deconv1_v2_loss,loss
0,0.20122046768665314,0.2992185950279236,0.5004392862319946
1,0.12108118087053299,0.13654732704162598,0.25762850046157837
2,0.029858827590942383,0.0363074392080307,0.06616627424955368
3,0.012994058430194855,0.01456498634070158,0.027559034526348114
4,0.006778856739401817,0.009591395035386086,0.016370244324207306
5,0.005570238921791315,0.0089544877409935,0.01452471874654293
6,0.00534630985930562,0.008800626732409,0.014146932400763035
7,0.0052720531821250916,0.00874397624284029,0.014016027562320232
8,0.005238664802163839,0.008716871961951256,0.013955539092421532
9,0.005222539883106947,0.008704163134098053,0.013926702551543713
10,0.005213119555264711,0.0086969044059515,0.0139100207015872
11,0.005209031514823437,0.008692426607012749,0.013901456259191036
12,0.005206520203500986,0.008690429851412773,0.013896944932639599
13,0.005205226596444845,0.008687905967235565,0.013893135823309422
14,0.00520451320335269,0.00868679117411375,0.013891307637095451
15,0.005204241722822189,0.008685081265866756,0.01388932578265667
16,0.005203578155487776,0.008683526888489723,0.013887106440961361
17,0.005203333217650652,0.008683012798428535,0.013886346481740475
18,0.005202929489314556,0.008681919425725937,0.013884845189750195
19,0.005203052889555693,0.008680415339767933,0.013883464969694614
